model_num,epochs,train,valid,test,conv_criterion
0,107,1.36369361783285,1.4091261282420002,1.8830959240630605,converged
1,204,1.1600874476126533,1.2279425094310703,1.4516195432381367,converged
2,211,1.1311936174211883,1.2134177905841135,1.623894785499291,converged
3,150,1.2126903815135341,1.3189037545175815,1.5892775635800245,converged
4,233,1.1585475900031608,1.3453843236117144,1.5685562872774457,converged
5,384,0.9950015844726936,1.2438225735455464,1.3732178562279578,converged
6,189,1.1467149865204043,1.347643623809668,1.640005238621918,converged
7,150,1.255309200935134,1.2448797938257123,1.813268386098032,converged
8,172,1.1589657006583858,1.2925550304996303,1.4522224741540146,converged
9,272,1.0447059995396248,1.28185763924411,1.5595755582190365,converged
10,138,1.2630360542065415,1.2730487202080913,1.4994434687108975,converged
11,277,1.0747458333457136,1.2203377290761204,1.5531605646939604,converged
12,240,1.1116138338457382,1.2269920195189776,1.6557453479168898,converged
13,216,1.088650733466754,1.3147334274652807,1.5934824709042075,converged
14,272,1.088431145823607,1.3422387221215277,1.7609475450906666,converged
15,249,1.1098563317763221,1.2991383503151654,1.5574709220620304,converged
16,146,1.2173059324355948,1.3620668228631216,1.4741266218882143,converged
17,216,1.109333918684388,1.294074897889162,1.5297012887168666,converged
18,181,1.1571042262465159,1.2927573842982059,1.4995101823207946,converged
19,197,1.167874889580989,1.3257322375604457,1.5737755236642743,converged
