expt,physics_ml,physics,ml
-4.72,-4.542739337911604,-3.13599,-1.4067493379116036
-3.04,-3.4083104530572887,-2.34475,-1.0635604530572889
-4.59,-3.7715649535655986,-1.75525,-2.0163149535655984
-3.82,-3.6813899588871,-5.70653,2.0251400411128997
-2.93,-3.1858739741373063,-4.29168,1.105806025862694
-0.98,-0.8877366069891452,-0.999704,0.11196739301085479
-0.74,-0.8568421879416702,-1.27761,0.4207678120583297
2.89,2.777907940081358,2.21496,0.562947940081358
-1.59,-1.3276909226198195,-0.719727,-0.6079639226198195
-3.75,-3.8599452658450786,-4.06934,0.20939473415492182
-0.25,0.029100868249177948,-0.471056,0.5001568682491779
-2.82,-2.691252287435532,-1.84855,-0.8427022874355319
-5.48,-5.052787599782945,-3.16298,-1.8898075997829444
2.51,2.755735154197216,1.94086,0.8148751541972159
-0.64,-0.5257393341118695,-0.443376,-0.08236333411186947
-7.5,-7.448718354897499,-8.80233,1.3536116451025002
-1.99,-2.2243057521604,-2.3491,0.12479424783960003
-3.64,-3.8672873078775405,-5.01902,1.1517326921224598
-4.84,-4.353061014111563,-4.40906,0.055998985888437325
-5.22,-4.28129344379425,-2.18137,-2.09992344379425
-0.83,-1.242560384893417,-1.44315,0.2005896151065829
-0.68,-0.4009429093817472,-0.835526,0.4345830906182528
-3.56,-3.435982206763029,-2.86147,-0.5745122067630288
-2.49,-2.7687288486146917,-3.65004,0.8813111513853085
-4.93,-4.189967331628203,-4.65612,0.46615266837179625
-6.16,-6.262188735408783,-4.45142,-1.8107687354087831
-2.23,-2.3016376164245607,-3.55178,1.2501423835754393
-0.53,-0.5328996322839022,-0.0964986,-0.43640103228390226
-5.1,-5.071453473577498,-4.07426,-0.9971934735774983
-4.47,-4.48405807112694,-3.08674,-1.3973180711269402
-7.17,-7.280769965686798,-6.12954,-1.151229965686798
0.29,0.26946006385219096,0.842092,-0.5726319361478089
-2.78,-2.800906549434663,-4.36373,1.5628234505653373
3.43,4.0618594119089835,4.87378,-0.8119205880910165
-3.15,-3.626837954825163,-3.9786,0.3517620451748371
-5.85,-6.536712397823334,-4.87226,-1.664452397823334
-6.21,-5.836631760673524,-7.45533,1.6186982393264762
-5.71,-7.211524785203935,-9.16167,1.9501452147960663
-1.14,-0.9494417212048173,-1.21859,0.26914827879518277
-2.4,-2.6822572759366032,-3.65181,0.9695527240633965
-2.33,-2.056232293157578,-2.13828,0.08204770684242213
-1.14,-1.5935215256714819,-2.08024,0.486718474328518
2.38,2.2345142259806385,1.99285,0.24166422598063853
-5.88,-6.581956269729733,-7.03166,0.4497037302702669
-2.81,-2.8104398511695856,-3.49388,0.6834401488304143
1.77,1.4295808677157757,1.49411,-0.0645291322842243
-6.5,-4.449683556804656,-9.58076,5.131076443195344
-1.62,-1.660603875315666,-0.783938,-0.876665875315666
-1.79,-1.9365616334071762,-2.10896,0.17239836659282393
-6.79,-6.782260545933246,-6.0964,-0.6858605459332461
-1.1,-1.600968995420039,-1.82824,0.22727100457996108
-0.9,-1.1157350137138367,-1.62474,0.5090049862861634
-3.41,-3.5328336870104073,-3.92455,0.39171631298959264
-3.52,-3.5221686603569977,-4.42939,0.907221339643002
-1.43,-1.2825451864254476,-1.41537,0.13282481357455245
0.0,0.3125690290294886,0.166193,0.14637602902948857
1.47,1.4691715525023639,1.41845,0.050721552502363876
-2.38,-2.29214125516653,-2.83859,0.5464487448334698
-7.19,-7.424710994513333,-7.9709,0.5461890054866672
2.1,2.030671188921929,1.86422,0.16645118892192912
-4.02,-3.913655134840011,-2.83267,-1.0809851348400112
-3.5,-3.4488787155127527,-4.48506,1.0361812844872471
-4.61,-4.347344789490106,-4.84475,0.4974052105098945
-2.07,-2.2333995449924466,-2.91204,0.6786404550075535
-0.33,-0.18549170803099865,-0.33592,0.15042829196900134
-0.9,-1.0731212056791783,-1.05546,-0.017661205679178282
-2.7,-2.6897150881576537,-3.36853,0.6788149118423461
1.83,1.8073318797442313,1.58483,0.2225018797442313
0.1,-0.1465426007068157,-0.445985,0.2994423992931843
-3.9,-3.372103840508462,-3.87304,0.500936159491538
-6.6,-6.542430399209261,-5.06,-1.4824303992092611
2.0,2.125064876490832,1.7034,0.42166487649083195
-7.0,-7.808555637264253,-10.2434,2.4348443627357463
-5.66,-5.5892645098590865,-4.31219,-1.2770745098590863
1.83,1.6299013700878617,1.23501,0.3948913700878618
-0.1,0.1475840806488275,-0.0144752,0.1620592806488275
-0.45,-0.36926813256025304,-1.07818,0.7089118674397469
3.16,3.009565112839938,2.91848,0.09108511283993792
-0.63,-0.24868897378921515,-0.552755,0.3040660262107848
2.51,2.225075239112676,2.14692,0.07815523911267563
-4.5,-4.350794431438447,-2.95749,-1.3933044314384473
